Players,Scouting Report,Sentiment Score
ausar thompson,Has the skill set to excel at the next level… But confidence is key to his success or demise… Similar to twin brother Amen in terms of athleticism and build… Can be effective without the ball… Solid defender… Careless with the ball… Could project as a solid 3-and-D wing… Capable as secondary ball handler?,0.9519
ayo dosunmu,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
bam adebayo,One of the smartest big men in the league… Always in the right spot… Great court vision to find open shooters… Has the skill to bring the ball down the floor himself… Can protect the rim with great results… But also has quick feet that allow him to legitimately defend positions one through five… Powerful finisher in the restricted zone… His jumper hasn’t fully developed yet but he is hitting short mid-range jumpers off the dribble now… Defensive presence should allow him to win a couple of DPOYs.,0.9598
ben sheppard,Great length at 6-foot-6 with shooting precision… Best skillset as a catch-and-shoot player… Smart player and knows when to relocate for better passing angles… Always moving off the ball looking for opportunities… Usually is open from the perimeter on transition… Underrated passer… Makes the right pass within the offense… Not afraid to turn down his own shot for a better shot from teammates… Frequently finds teammates in the dunker spot… Potential as an iso player… Uses length to jump passing lanes for steals… Needs to get stronger… Tends to get pushed around… Gets blocked too often.,0.9403
ben simmons,"A triple-double threat… Elite point guard abilities, especially for his height… Unstoppable when pushing the ball in the open court… Great finisher at the rim… Elite defender… Great ability to deflect passes… His three-point shooting is still MIA… Can’t even hit a jumper from mid-range… At this point, you have to wonder about his availability to play.",0.9201
bennedict mathurin,"Bucket-getting guard who is smooth and confident as a scorer… Can knock down triples with his feet set or off the dribble, though he does need some work with the latter shot type… Flashy playmaker and passer who loves to hightail it in transition… Athletic but sometimes struggles to finish in traffic… Lot of defensive potential but needs to clean things up on that end.",0.5994
bilal coulibaly,6-foot-6 with a 7-foot-2 wingspan… Absolute menace on the defensive end… Elite wing defender… Great fundamental skills with footwork defensively… Still very raw offensively… Likes to get in transition for easy buckets… Super athletic and can dunk with authority on either foot… Improving a lot as ball handler… Knows when to make baseline cuts for easy points… Careless with the ball… Needs work as a shooter… Slow release when shooting… Relies too much on contact when driving to rim… Upside is really high.,0.9211
bismack biyombo,"Defense-oriented big man with great length, strength and athleticism… Not much polish in his offensive game… Basically only scores around the rim… Best utilized as a backup big… Fouls opponents at an excessive rate.",0.8591
blake wesley,"A guard/wing type with a savvy bag of scoring moves… Good ballhandler and knows how to slow down and speed up to befuddle opponents… Smooth scorer off the dribble from the midrange… Solid playmaker with very good athleticism, so he can do damage when he gets in the paint… Does a lot of damage in transition thanks to athleticism… Doesn’t draw enough fouls and his jumper needs work from the outisde.",0.4927
bobby portis,Modern big man in that he loves to shoot jumpers… His defense also leaves a lot to be desired… Can get you buckets off the bench… Doesn’t like passing the ball once he gets it… Not someone opponents want to mess with… Has become a very good rebounder… Knows his role at this point in career… Ideal role player to have on contending team.,0.847
bogdan bogdanovic,Versatile offensive guard… Loves responsibility in clutch time… Great feel for the game… Splendid court vision… Has experience as a leader on winning teams before arriving to the NBA… Unselfish player to a fault at times… Can struggle defending stronger rivals… A bit of a streaky shooter… Can play-make a bit.,0.891
bol bol,"7-footer with an obscene 7-foot-8 wingspan… That helps him swat loads of shots on defense… Unconventional game offensively for a big man… Loves to shoot jumpers and has wing-like quickness… Hit over 50 percent of his threes in college, in a limited sample size… Thin frame… Gets bullied sometimes on the glass and on defense… Needs to get stronger.",-0.7964
bones hyland,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
bradley beal,Absolute monster scorer… A vintage shooting guard who is ultra confident… Underrated athlete who can finish at the bucket… Good effort on defense… Much-improved playmaker… Solid ballhandler… A star.,0.5423
brandon clarke,"Slightly undersized at 6-foot-8 hovering around 210 pounds for a power forward… But makes up for it with high-level athleticism and instincts… Especially on defense… Picks up tons of steals and blocks… Makes winning plays… Can hit threes with his feet set… But it’s not his specialty… Great hands… Finishes well around the rim, despite size… Elite out of the pick-and-roll.",-0.3901
brandon ingram,Do-everything forward… High-level scorer with good rebounding and playmaking skills… Has blossomed into a borderline elite shooter… Fantastic size and length for a wing… Hits shots off the dribble… Solid ball-handler… High release point makes him difficult to contest… Has gotten much stronger from when he first started… Improved his free throw shooting drastically… Needs to put more effort on defense… Exerts all his energy on offense and does not take defense too seriously… A bit turnover prone.,0.9236
brandon miller,Can do a bit of everything offensively… Playmakes for teammates… Not super quick… But seems to have a good IQ on the court… Has a quick release and perimeter shot that looks translatable to the NBA… Can really shoot the heck out of the ball… Not too consistent but mechanics are there… Potential to guard 1-4 in the NBA… Fit is vital as he needs to go to a team that will let him handle the ball to excel at the next level.,0.8514
brice sensabaugh,6-foot-6 wing with great shooting abilities… Efficient catch-and-shoot player… Range extends from mid-range out to the perimeter… Does not need a lot of space to make shots… Has a high release… Big shot maker… Especially in clutch moments… Has upside as a three-level scorer… Loves the turnaround jumper… Can guard multiple positions… Possibly 2 to 4… Uses his chest to stay in front of opponents… Overreacts too often to jabs and pump fakes… Gets into foul trouble… Bit slow-footed and players get by him pretty frequently… Needs work as a playmaker.,0.9022
brook lopez,One of the most amazing evolutions in modern NBA… A seven-footer who can shoot from way behind the three-point line… Adapted his game from mid-range to three… One of the best shot blockers and post defenders in the league… Ideal big man in the modern NBA… Great footwork in the paint… Has overcome serious injuries during his career… A surprisingly bad rebounder for his size… Complements high usage slashers well with his shooting.,0.9348
bruce brown,Undersized at 6-foot4… Still managed to carve out a role in today’s league… Can play both as a 3-and-D player and operate as an undersized big who can roll to the rim on pick-and rolls… Savvy player who knows when to cut to the rim… Three-point shot has gotten way better… Great rebounder for his size… Pays tough… Ideal role player on good teams.,0.8934
buddy hield,Natural-born shooter… One of the most reliable three-point specialists in the league… Plays unafraid to a fault at times… Good finisher in transition… Below-average ballhandler… Not as effective creating his own shot… Arms are shorter than his peers… Can be a liability on defense… An absolute iron man… Barely misses games.,-0.5645
cj mccollum,"Creative wing player with great scoring punch… Will get you 20 points most nights with good efficiency… Terrific three-point shooter… Good with the pull-up jumper… Hits long twos consistently… Has improved his D recently, but certainly not a lockdown defender… Great leader… Composed and ability to hit clutch buckets.",0.8818
cade cunningham,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
caleb martin,"Swingman-type forward who can play at the power or small forward spots… Much-improved shooter from the arc… Really spaces the floor from three and does damage in transition… Able to get to the basket thanks to a shifty ball-handle… Impressive leaping ability… Just average burst with the ball in his hands, though… Can post up smaller players… Disruptive defender.",0.5423
cam reddish,Huge upside thanks to size at 6-foot-8 and skill level… Has a do-it-all game that is so important for modern wings… Three-level scorer with point-producing punch off the dribble… Far from a finished product… Passion for the game has been questioned in the past… Consistency is a major concern… Confidence in himself still seems to be there… Production doesn’t match the tools he has.,0.9094
cam thomas,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
cameron johnson,"Good size on the wing at 6-foot-8… More importantly, has one of the prettiest jumpers in basketball… That helped him make an impact as a three-point shooter… Should only continue to get better from out there… Arrived to the NBA pretty old at 23… His exact upside is hard to measure… Not a dynamic athlete… Defense has improved a lot… Has potential to be better than a 3-and-D player.",0.9541
caris levert,"Extremely crafty ballhandler and scorer… Seems to slice through defenses and hit pull-up jumpers effortlessly… Major change-of-direction skills… When his three is falling, he becomes really hard to defend… Inconsistent for his career from the outside, however… Does a bit of everything on the wing… Can be a bit of a ball stopper… Needs to learn how to contribute positively on court in other ways when shot is not falling.",0.2975
cason wallace,Great playmaker… Does not always go with the first read… Pick-and roll magician… Solid playmaker but not superb… Great with off-ball movement to get open from three… Does not hesitate when shooting from the perimeter… Will need to develop a pull-up perimeter shot… Hard to get by him as a defender… Makes ball handlers get super uncomfortable… Knows when to double-team players and create havoc… Can anticipate passing lanes and creates steals… Knock on him is his size… But he should be able to make an impact… Good toughness… Offensive game may not be impactful at the NBA level.,0.9667
chet holmgren,"One of the more unique prospects we’ve seen reach the NBA in a while… Rail thin but absurd size for a player with his skill level… Reported 7-foot-6 wingspan… Can shoot the basketball, though he’s not an elite shooter yet… Can bring the ball up and down the floor… Elite finisher around the cup and absurd defensive potential thanks to his shot blocking and quick feet.",-0.1805
chris boucher,Super skinny big man… Elite shot blocker… Can really shoot the three… Not afraid to put up shots… Improved drastically to the point he is a good rotation player… Has a tendency to get in foul trouble.,0.6712
chris paul,"A true floor general… Can score and get teammates involved… Great knowledge of the game… Makes good decisions… Excellent at the pick-and-roll… Great scorer when he gets aggressive… Mid-range game may be passé, but he’s brilliant at it… Pretty strong… Good defender on the ball… Gets lots of steals… Excellent competitor… Has not had much playoff success… Has struggled to stay healthy in the postseason.",0.9845
christian braun,Solid complementary piece… Tenacious on both ends of the floor and willing to lay his body on the line to make winning plays… Has developed into shooter from the outside… Limited ballhandler and off-the-dribble scorer… Solid passer… High-effort player who makes plays defensively.,0.6249
chuma okeke,"Spent a year rehabbing an ACL tear as a member of the Magic… 3-and-D, dirty-work type of wing… Won’t fill up the stat sheet, but almost always makes a positive impact… Shot almost 39 percent from three over two years at Auburn… Not a great athlete, and the major knee injury won’t help matters… Keeps the ball moving on offense… Doesn’t try to do too much… Better team defender than one-on-one defender.",0.7152
clint capela,Athletic and long big man… Terrorizes opponents out of the pick-and-roll… Active rebounder on both ends… Excellent rim-protector… One of the best finishers in basketball… Can’t really defend on the perimeter… That hurts him defending switches… Poor free-throw shooter.,0.0772
coby white,Flashy all-around scorer… Quick first step to attack the rim… Dangerous three-point shooter in good nights… Not selfish with the ball in his hands… Very inconsistent… Can be a liability in bad games… Doesn’t bring much in defense besides energy… Ceiling looks to be a productive sixth man… Limitations on defense and streakiness offensively suits him better off the bench.,-0.7137
cody martin,Big guard with long arms at 6-foot-7 with a 6-foot-10 wingspan… Able to run the pick-and-roll… Hits shots off the dribble… Solid outside shooter… Active defender who can cover a few different positons… Thrives in transition… Just a decent athlete in the halfcourt… Streaky from three-point range.,0.5719
colby jones,6-foot-5 wing with court vision… Makes quick decisions to find open teammates… Always finds teammates in the dunker spot… Gets by defenders with a change of pace dribble… Nice touch with floaters… Solid defender who moves his feet well… Can guard 1 to 3… Great at contesting shots due to his patience… Really fluid going over ball screens… Solid catch-and-shoot player… Not too effective a shooter off the dribble… Inconsistent shooting mechanics… Not too effective as an iso scorer.,0.69
cole anthony,"High-energy lead guard who likes to seek out his own shot first and foremost… Plays with a ton of confidence… Can hit shots with his feet set as well as off the dribble from three and the mid-range… Awesome getting down the court in transition… Creative ball-handler who knows how to get rid of defenders… Defensively, he plays with a lot of energy and likes to make life difficult for other point guards… Must improve shot selection as well as decision-making.",0.9623
colin castleton,"7-foot-3 wingspan but plays below the rim… Has more guard skills than traditional big man skills… Great passer for a big man, especially from the elbow… Can handle the ball in transition… Comfortable taking shots… But not that accurate… Below average with finishing around the rim… Can’t really finish through guys… More likely to look to pass or shoot a fadeaway.",0.8885
collin sexton,"A bundle of energy on both ends of the floor… Plays at a very high pace… High-level shot-maker… Elite outside shooter with his feet set… Crafty scorer with a fantastic floater game… More than adept pull-up shooter from the midrange… Thrives in transition… Better scorer than creator out of the pick-and-roll… But improving his playmaking skills… Extremely confident in his ability… Doesn’t turn it over much… Slight build hurts him on defense… Plays with high effort on that end anyway, though… Seems destined for a high-usage role on bad teams… Best used as a sixth man scorer.",0.9207
cory joseph,Nice backup point guard… Not much of a scorer or playmaker… But can be relied on to get guys the ball in the right spots and keep the rock moving… Inconsistent outside shooter… Limited offensive game… Plus-defender… Very tenacious on that end… Really gets his body into ballhandlers and makes life tough for them.,-0.7351
dangelo russell,"Creative ballhandler and scorer who often takes audacious shots, but hits them at a rate that makes them acceptable… Attracts a lot of attention while running the offense, which allows him to distribute the ball at a good level… Poor defender who gives little effort trying to get stops… Can shoot his team to wins and also miss shots to losses… Probably better off as instant offense off the bench rather than starting.",0.7992
daquan jeffries,6-foot-5 guard who is best playing off the ball… Not a knockdown outside shooter… Hit under 34 percent of his threes in the G League last season… Below-average ball-handler for his position… Solid floater… Doesn’t have elite athleticism or burst… Most comfortable shooting with his feet set… Decent speed when he gets a head full of steam.,0.8805
dalen terry,"3-and-D type with good athleticism who can create plays for others… Very inconsistent as a shooter, even with his feet set… Impactful off-ball defender who can jump passing lanes for steals and block shots… Gives good effort on defense and can guard multiple positions thanks to quick feet and length… Not much of a scorer yet.",0.7579
damian lillard,Killer instinct… One of the most clutch players in NBA… Unstoppable offensive force… His shooting range is almost unlimited… Natural born leader… Skilled finisher at the rim… Almost automatic from the free throw line… Not an elite passer for his position… Tends to overshadow his teammates on the court.,-0.5542
daniel gafford,"High-energy, athletic big man… Great rebounder and elite shot blocker… Has upside as a pick-and-roll big man, one who’ll be able to finish above the rim… Besides dunks, not much of a scorer… Not comfortable shooting the basketball whatsoever… Ball gets stuck in his hands when he catches it.",0.1022
daniel theis,Fills an important modern-day archetype for a big man… That of a floor-spacer and rim-protector… Comfortable spotting up from three… Very good finisher out of the pick-and-roll… Sturdy screen-setter with good hands and surprising leaping ability… Bounce and timing aid him in blocking a lot of shots… Solid backup center for most teams… Can be exposed when switching out to perimeter wings… Plays extremely hard and provides energy.,0.9134
dante exum,"A ton of untapped potential… Has the size, ballhandling and athleticism to be a good combo guard… But injury after injury has completely prevented that from happening… Not comfortable at all shooting it from three… Odds are, he’ll never reach his full potential.",-0.8599
dario saric,"Power forward with versatile abilities… Can play some center… Plus ballhandle for a frontcourt player and good vision as a passer… Solid outside shooter with his feet set… Quick laterally so can defend multiple positions at 6-foot-10… Perfect stretch big to expose traditional rim protecting bigs… Not a strong finisher down low for his size… Doesn’t protect the rim, either.",0.8315
darius garland,"Possesses a quick jumper with good form… Quickly developed into a young star… Can hit perimeter shots off the dribble… Gets to the rim with ease… Nice touch on his floater that helps him finish over taller opponents… Point-guard size with a 2-guard’s game… Highly efficient on the pick-and-roll… Not the best defender, but has room for improvement as he gets older.",0.8108
david roddy,"A power forward in a small forward’s body… Great strength and a huge, sturdy frame allow him not to get pushed around by bigger foes down low… Efficient scorer, both from two-point and three-point range… Good lateral agility, so he can legitimately guard a few different positions.",0.9217
deaaron fox,Explosive floor general with great size and length… Racks up steals thanks to quickness and instincts… Can throw down shockingly impressive dunks for a point guard… Provides huge value on both ends of the floor… Gets to the line a lot… Not much of a three-point shooter… Seemed disengaged sometimes in the past… Much better in that department now with the team doing better… Has become quite a clutch guy.,0.9169
deandre hunter,"Wing with prototypical size… Does a bit of everything well… That includes run pick-and-rolls, shoot from the outside and attack in transition… Ranks in the upper echelon in those play types statistically… Fantastic defender who guards just about every position… Offensive game is still rather inconsistent despite his well-rounded abilities.",-0.4291
deanthony melton,Can really score the ball from a wide range of ways… Super athletic… Solid three-point shooter… Long arms and athleticism allow him to steal at a high rate and block shots as well… A bit tunnel vision with the ball… Playmaking more for teammates can raise his game to another level.,0.3182
deandre jordan,"Was one of the best finishers at the rim… Great length and leaping skills… His field goal percentage is the highest in NBA history by far… Not the rim protector he was at his prime… Never really developed a jump shot, but his free-throw shooting has gotten way better… Not very effective anymore… Does not belong on most NBA rosters.",0.1265
demar derozan,"Consistent scorer… A mid-range specialist in a complicated era for them… Bad three-point shooter… He rarely tries, anyway… Not that explosive anymore, but still dangerous driving to the rim… Has become a solid passer in the second half of his career… Never been a defensive juggernaut… Has become a clutch player.",-0.6819
dean wade,"6-foot-9 swingman with solid hops… Quick, high release on threes with a solid follow-through… Hit almost 40 percent of his threes in the G League… Can do some scoring off the dribble… Good ball-handler… Limited burst, so struggles to get around more athletic defenders… Hits stepbacks and fadeaways from the midrange… Good defender who protects the rim and jumps passing lanes.",0.719
deandre ayton,"Athletic center with prototypical size and length for the position… With as strong and explosive as he is, he should finish everything down low with a dunk… Even through contact… Does not always look fully invested… Not that comfortable from three yet… But a solid midrange shooter… Elite rebounder… Soft touch around the basket… Improving defender, but must continue focusing more on that end.",0.7139
dejounte murray,"Athletic, long-armed athlete at point guard… Specializes in defense… Uses long arms and quick lateral foot quickness very well on that end… Elite rebounder for his position… Streaky outside shooter… Average player offensively who lacks in efficiency… At his best pushing the pace in transition.",0.4201
delon wright,Not the most physically gifted player… But has more than made the most of his tools… Reliable floor general… Comfortable playing on the ball as lead guard… Or off it at 2-guard… Best suited as backup guard… Decent spot-up shooter from three… Can make plays out of the pick-and-roll… Trustworthy… He’ll give full effort every night.,0.9428
deni avdija,"Massive point forward at 6-foot-9… Great instincts as a playmaker and creator for others… Solid ballhandler who doesn’t get ripped often… Excels out of the pick-and-roll… Very coachable and never takes plays off… There were questions about his jump shot, but his jumper looks very clean with repeatable form… If his jumper is legit, his upside becomes even greater… Average athlete who lacks high-end quickness… That could hurt him defensively and when trying to get by more athletic defenders.",0.4744
dennis schroeder,"Effective as a starter but even better coming off the bench… Underrated one-on-one scorer… His confidence can be a detriment… His quickness and shiftiness makes him a tough cover… Can hit shots off the dribble… Inconsistent from three… Not a great defender, but tries… Seems to have matured over the last few years… Been more of a team player recently.",0.574
derrick white,"Well-rounded guard on offense… Can do so many little things well on the court… Can score, rebound and create for others at respectable levels… True floor general who can be fully trusted to run an offense… Highly reliable defender with nice blocking stats to back it up… Can run hot and cold as a shooter.",0.9168
desmond bane,"Elite shooter even if his form isn’t picture-perfect… Good instincts offensively and does very well out of the pick-and-roll… Can knock down shots off the dribble, not just with his feet set… Has improved his dribbling and playmaking over the years… All-Star potential… Has really expanded his game every year to become more than just a spot-up shooter… Fights defensively but lacks wingspan to make a huge impact there.",0.476
devin booker,"A throwback bucket-getting shooting guard who is a three-level scorer… One of the most confident scorers in the league… Big shot maker down the stretch… Can put up 25 in his sleep… Much-improved defensively, displaying much more effort on that end… Beast in the midrange with a strong pull-up game… Solid playmaker… Still has room to improve his game.",0.8655
devin vassell,"A 3-and-D wing who is a better scorer than given credit for… Can knock down contested shots thanks to plus-length and high release point on jumper… Solid shooter off the dribble… Nice defender one-on-one and as a help defender… Accurate three-point shooter as well… Not a freakish athlete… Won’t blow by defenders, but can use craftiness to score out of the midrange anyway.",0.835
dillon brooks,Scoring wing who believes he never takes a bad shot… Epitome of an irrational confidence guy… Super streaky with his shot… Range extends out to the three… Has extreme tunnel vision when ball in his hands… Needs to learn how to playmake for teammates… Always looks to get his own shot up… Been labeled a dirty player… Known for being a gritty defender.,0.8248
domantas sabonis,Excellent rebounder who plays with great effort… One of the best passing big men in the league… Terrific at setting screens and creating space for his teammates… Solid mid-range shooter… Can defend stretch big men… His three-point shot is still developing… Could complement a No. 1 option perfectly… Not a great rim protector.,0.9712
donovan mitchell,"Huge offensive talent… One of the most gifted scorers of his generation… Great ability to drive to the rim… Can easily assume a playmaker role… Efficient spot-up shooter… Energetic defensive player… Loves clutch time… Very inconsistent from game to game… Poor defender, but has the physical attributes to be much better… A bit of a ball stopper… Needs to improve more on being a playmaker for teammates.",0.8957
donte divincenzo,Energetic player with a great feel for the game… Smart defender reading opponent’s offensive schemes… Can run the court well in transition… Proven winning mentality… Smart passer… Decent secondary or third ballhandler… Fantastic basketball IQ… Great driving for a guard his size… Has proved to be a lockdown perimeter shooter… But goes through cold spells.,0.9001
dorian finney-smith,Prototypical 3-and-D player… Tireless defender… Specialized in guarding star opponents… His wingspan makes him hard to score on… Great catch-and-shoot option… Low-maintenance player… Definitely someone who will back up teammates… Has little use with the ball in his hands… Not a strong defender closer to the rim.,0.5271
draymond green,Does everything but score… Super versatile defender who’s been a DPOY candidate for many years… Very good vision of the court with passing skills to boot… Great competitive fire… Sometimes too much… Can get carried away by emotions… Even more exposed as a non-threat scoring-wise without stars around him… His percentages have gotten worse as he’s aged… Leadership is elite.,0.9503
drew eubanks,"Big man with a solid feel for the game… Good timing on the glass and a plus-playmaker… Highly energetic… Channels that energy well on defense… Good timing as a shot-blocker… Averaged 1.5 blocks in G League last season… Doesn’t shoot threes… Slow release on jumper, but can hit them from the mid-range… Finishes with both hands in the paint… Decent hook shot.",0.4854
duncan robinson,One of the most lethal shooters in league… 6-foot-8 skinny frame… Quick and high release make it tough for opponents to block… Does not think twice when shooting… And that’s what has made him effective… Defense leaves much to be desired… Foot speed too slow to keep up against NBA level wings… Often switched onto talented wings and gets exposed… Liability on defense makes it tough to leave him on court.,0.3182
dwight powell,Energy big man with good athleticism… Very good finisher out of the pick-and-roll… Great alley-oop target… Doesn’t try to do too much… Developing as an outside shooter… Likes to hit threes from the corners… Really attacks the offensive glass… Not as good of a defensive rebounder… Came back strong from Achilles injury… Best utilized as a backup big.,0.9574
dyson daniels,"Excellent passer and table-setting guard who likes to move the ball and set up teammates for good looks… Plus-athlete who uses his physical gifts very well defensively, especially for a player his age… Skilled bal-handler who can get to his spots… Poor shooter and not much of an athlete, two areas he’ll have to work on.",0.7792
elfrid payton,Two-way point guard… Quick athlete… Good playmaker out of the pick-and-roll… Subpar shooter… Decent finisher in the paint… Great backcourt defender… Uses quick feet and solid strength well there… Not much of a scorer… Offense has always been his kryptonite… Is what he is at this point in his career.,0.8979
eric gordon,"Bucket-getting shooting guard… Shoots a ton of threes… Excellent out of the pick-and-roll and in one-on-one situations… Picture-perfect jumper, but surprisingly not as effective as it looks… Past his prime but can still shoot… Bit of a liability on defense now.",0.0948
evan mobley,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
fred vanvleet,Super active player on both sides of the court… Always chasing stray passes and loose balls… Plays with a massive chip on his shoulder… Solid three-point shooter… His court vision is improving year by year… Always aggressive attacking the rim… Streaky at times… Not great shooting percentages.,0.5867
gabe vincent,Combo guard who’s looking to score more than pass… His specialty is as an outside shooter but also does some scoring off the dribble against hard closeouts… Average ballhandler for his position… Solid defender despite size and athletic limitations… Feisty on defense and will really get into opposing ball-handlers… Limited burst.,0.0772
garrison mathews,Prototypical 2-guard shooting specialist… Super quick release… Gets great elevation on his jumper… Helps him knock them down even over contests… Range extends way behind the three-point line… Can hit shots off of one or two dribbles… Plays hard on defense.,0.9217
gary harris,3-and-D type at shooting guard… Good complementary piece… Plays well off of others… Gives high effort defensively… Up-and-down outside shooter most of his career… Effective cutter off the ball… Injuries have plagued him.,0.8442
gary trent jr.,Decent-sized combo guard… Can really shoot it… Not just a spot-up shooter anymore… Can play make a bit… Hit threes off the dribble… Blossomed from a fringe NBA player to legitimate No 3 or 4 option… Still racks up steals while his offensive game has developed… Has nice mid-range game too.,-0.7178
georges niang,"Floor-spacer at power forward… Fantastic three-point shooter… Great with his feet set… Gets his shot up so fast… Tough for opponents to block… Can get to the rim, but not often… Below-average defender… Often gets switched over for mismatches.",0.5363
giannis antetokounmpo,"One of the most unique players ever… Unstoppable in the open court… Finishes at the rim like few players, usually being among the league leaders in points in the paint… Freakish length and athleticism… Great handles for his size… His wingspan and instincts make him a great defender… Still hungry to improve his game… Has made strides every year… His jumper has improved, but will not be mistaken for a shooter… Below-average free-throw shooter… A rare low-maintenance superstar.",0.8428
